station,Date,Time,replicate #,Temp_deg_C,SpCond_uS/cm,Salinity_PSU,TDS_mg/l,HDO_mg/l,HDO_%Sat,pH_units,Depth_m,field_chl_a,lab_chl_a,DEPTH
SR64,7/2/2024,9:48,1,31.3,37770,23.8,24170,6.43,99,6.21,0.15,6.17,,0.15
SR64,7/2/2024,9:49,2,31.23,37740,23.78,24150,5.54,85.2,6.97,0.16,10.62,,0.15
SR64,7/2/2024,9:49,3,31.25,37740,23.77,24150,5.39,82.9,7.17,0.18,6.17,,0.15
SR64,7/2/2024,9:50,4,31.29,37800,23.81,24190,5.13,79,7.31,0.14,5.71,,0.15
SR64,7/2/2024,9:50,5,31.28,37650,23.71,24090,4.97,76.5,7.37,0.15,13.57,,0.15
SR64,7/2/2024,9:50,6,31.29,37790,23.81,24180,4.96,76.4,7.39,0.14,5.93,,0.15
SR64,7/2/2024,9:51,1,31.26,37850,23.85,24220,4.93,76,7.45,0.3,7.59,,0.3
SR64,7/2/2024,9:51,2,31.28,37850,23.85,24220,4.77,73.5,7.45,0.29,6.93,,0.3
SR64,7/2/2024,9:51,3,31.28,37900,23.88,24250,4.74,73,7.45,0.29,7.41,,0.3
SR64,7/2/2024,9:51,4,31.25,37950,23.92,24290,4.67,71.9,7.45,0.31,6.45,,0.3
SR64,7/2/2024,9:51,5,31.27,37930,23.91,24280,4.59,70.7,7.45,0.28,8.12,,0.3
SR64,7/2/2024,9:52,6,31.28,37900,23.88,24250,4.53,69.8,7.46,0.32,7.65,,0.3
SR64,7/2/2024,9:52,1,31.24,37990,23.95,24310,4.46,68.7,7.45,0.46,9.36,,0.45
SR64,7/2/2024,9:52,2,31.28,37860,23.86,24230,4.4,67.8,7.45,0.43,8.02,,0.45
SR64,7/2/2024,9:52,3,31.29,37840,23.84,24220,4.34,66.9,7.45,0.45,8.93,,0.45
SR64,7/2/2024,9:53,4,31.29,37920,23.9,24270,4.35,67.1,7.46,0.46,9.28,,0.45
SR64,7/2/2024,9:53,5,31.33,37880,23.87,24240,4.36,67.3,7.46,0.44,9.48,,0.45
SR64,7/2/2024,9:53,6,31.33,37920,23.9,24260,4.37,67.4,7.47,0.43,9.66,,0.45
SR64,7/2/2024,9:54,1,31.28,38010,23.96,24320,4.43,68.3,7.48,0.6,12.39,,0.6
SR64,7/2/2024,9:54,2,31.31,37880,23.87,24240,4.47,68.9,7.47,0.59,12.58,,0.6
SR64,7/2/2024,9:55,3,31.31,37920,23.9,24270,4.45,68.6,7.48,0.6,14.02,,0.6
SR64,7/2/2024,9:55,4,31.31,37950,23.92,24290,4.43,68.3,7.48,0.6,13.42,,0.6
SR64,7/2/2024,9:55,5,31.31,37940,23.91,24280,4.42,68.1,7.48,0.6,13.26,,0.6
SR64,7/2/2024,9:55,6,31.32,37940,23.91,24280,4.41,68.1,7.48,0.6,13.46,,0.6
SR64,7/2/2024,9:56,1,31.2,38390,24.23,24570,4.4,67.8,7.46,0.74,15.81,,0.75
SR64,7/2/2024,9:56,2,31.2,38360,24.21,24550,4.24,65.4,7.45,0.74,13.97,,0.75
SR64,7/2/2024,9:56,3,31.2,38350,24.2,24540,4.22,65,7.44,0.75,13.53,,0.75
SR64,7/2/2024,9:56,4,31.2,38390,24.23,24570,4.19,64.6,7.43,0.75,12.97,,0.75
SR64,7/2/2024,9:56,5,31.2,38340,24.2,24540,4.18,64.4,7.43,0.75,14.16,,0.75
SR64,7/2/2024,9:56,6,31.18,38340,24.2,24540,4.13,63.6,7.43,0.75,16.03,,0.75
FHR,7/2/2024,10:26,1,30.22,11260,6.35,7212,6.44,88.6,7.19,0.15,53.66,,0.15
FHR,7/2/2024,10:27,2,30.22,11270,6.36,7218,6.25,85.9,7.19,0.15,53.2,,0.15
FHR,7/2/2024,10:27,3,30.22,11270,6.35,7213,6.21,85.4,7.19,0.16,53.25,,0.15
FHR,7/2/2024,10:27,4,30.23,11200,6.31,7169,6.11,84.1,7.19,0.16,52.44,,0.15
FHR,7/2/2024,10:27,5,30.22,11260,6.35,7208,6.01,82.6,7.19,0.16,52.39,,0.15
FHR,7/2/2024,10:27,6,30.21,11300,6.37,7233,5.92,81.4,7.19,0.16,50.9,,0.15
FHR,7/2/2024,10:28,1,30.16,11600,6.55,7424,5.82,80,7.18,0.3,41.5,,0.3
FHR,7/2/2024,10:28,2,30.16,11550,6.53,7396,5.75,79,7.19,0.31,43.95,,0.3
FHR,7/2/2024,10:28,3,30.16,11490,6.49,7357,5.67,78,7.19,0.31,46.07,,0.3
FHR,7/2/2024,10:28,4,30.16,11590,6.55,7417,5.57,76.5,7.18,0.3,45.02,,0.3
FHR,7/2/2024,10:28,5,30.16,11530,6.51,7382,5.54,76.2,7.18,0.31,47.77,,0.3
FHR,7/2/2024,10:28,6,30.14,11610,6.57,7435,5.5,75.6,7.19,0.31,45.53,,0.3
FHR,7/2/2024,10:29,1,30.09,11900,6.74,7620,5.31,73,7.18,0.45,40.58,,0.45
FHR,7/2/2024,10:29,2,30.11,11870,6.72,7601,5.27,72.4,7.18,0.45,39.57,,0.45
FHR,7/2/2024,10:30,3,30.12,11890,6.73,7612,5.24,72.2,7.18,0.45,38.64,,0.45
FHR,7/2/2024,10:30,4,30.12,11890,6.74,7615,5.24,72,7.18,0.45,37.21,,0.45
FHR,7/2/2024,10:30,5,30.12,11900,6.74,7616,5.22,71.8,7.18,0.43,37.94,,0.45
FHR,7/2/2024,10:30,6,30.12,11890,6.74,7615,5.21,71.7,7.18,0.45,39.56,,0.45
FHR,7/2/2024,10:30,1,30.08,12150,6.9,7780,5.17,71.1,7.17,0.6,42.83,,0.6
FHR,7/2/2024,10:30,2,30.08,12160,6.9,7783,5.14,70.8,7.17,0.61,44.9,,0.6
FHR,7/2/2024,10:31,3,30.1,12190,6.92,7803,5.12,70.5,7.17,0.61,44.13,,0.6
FHR,7/2/2024,10:31,4,30.09,12230,6.94,7830,5.11,70.4,7.17,0.62,43.44,,0.6
FHR,7/2/2024,10:31,5,30.11,12240,6.95,7838,5.11,70.3,7.18,0.59,44.05,,0.6
FHR,7/2/2024,10:31,6,30.12,12310,6.99,7878,5.11,70.5,7.18,0.6,46.16,,0.6
FHR,7/2/2024,10:32,1,30.15,13670,7.83,8752,5.11,70.7,7.16,0.75,37.34,,0.75
FHR,7/2/2024,10:32,2,30.14,13600,7.79,8705,5.11,70.7,7.17,0.76,37.93,,0.75
FHR,7/2/2024,10:32,3,30.13,12990,7.41,8314,5.11,70.6,7.17,0.74,38.59,,0.75
FHR,7/2/2024,10:32,4,30.14,13420,7.68,8594,5.1,70.6,7.17,0.75,37.65,,0.75
