Station,Date,Time,Replicate,Temp(deg C),Conductivity_uS,Salinity_PSU,TDS(mg/L),HDO(mg/L),HDO %,pH,Depth,Field_Chl_a,Lab_Chl_a,correction,,mb,125,8,1,0.06,0.00384
FHR,6/10/2024,10:07,1,31.87,40220,25.5,25740,5.52,86.7,7.18,0.32,41.09,6.29,6.532591415,,SR64a,125,8,1,139.79,8.94656
FHR,6/10/2024,10:07,1,31.87,40220,25.5,25740,5.52,86.7,7.18,0.32,41.09,8.42,4.880047506,,SR64b,125,8,1,130.65,8.3616
FHR,6/10/2024,10:08,2,31.93,40060,25.39,25640,5.1,80,7.22,0.3,40.9,6.29,6.502384738,,Sr54c,125,8,1,143.38,9.17632
FHR,6/10/2024,10:08,2,31.93,40060,25.39,25640,5.1,80,7.22,0.3,40.9,8.42,4.857482185,,FHRa,125,8,1,877.72,56.17408
FHR,6/10/2024,10:08,3,31.87,40290,25.55,25790,4.86,76.3,7.22,0.24,35.41,6.29,5.629570747,,FHRb,125,8,1,716.08,45.82912
FHR,6/10/2024,10:08,3,31.87,40290,25.55,25790,4.86,76.3,7.22,0.24,35.41,8.42,4.205463183,,FHRc,125,8,1,888.93,56.89152
FHR,6/10/2024,10:09,4,31.93,40130,25.44,25680,4.78,75.1,7.22,0.26,37.63,6.29,5.982511924,,,,,,,
FHR,6/10/2024,10:09,4,31.93,40130,25.44,25680,4.78,75.1,7.22,0.26,37.63,8.42,4.46912114,,,,,,,
RYE,6/10/2024,10:30,1,30.49,8039,4.41,5144,6.9,94.4,7.59,0.01,66.48,7.86,8.458015267,,,,,,,
RYE,6/10/2024,10:30,1,30.49,8039,4.41,5144,6.9,94.4,7.59,0.01,66.48,7.59,8.758893281,,,,,,,
RYE,6/10/2024,10:31,2,30.72,8107,4.45,5189,6.11,83.9,7.4,0.02,66.77,7.86,8.494910941,,,,,,,
RYE,6/10/2024,10:31,2,30.72,8107,4.45,5189,6.11,83.9,7.4,0.02,66.77,7.59,8.797101449,,,,,,,
RYE,6/10/2024,10:31,3,30.7,8090,4.44,5178,6.02,82.6,7.37,0.02,67.68,7.86,8.610687023,,,,,,,
RYE,6/10/2024,10:31,3,30.7,8090,4.44,5178,6.02,82.6,7.37,0.02,67.68,7.59,8.916996047,,,,,,,
RYE,6/10/2024,10:31,4,30.67,8002,4.39,5121,5.81,79.6,7.36,0.02,68.63,7.86,8.731552163,,,,,,,
RYE,6/10/2024,10:31,4,30.67,8002,4.39,5121,5.81,79.6,7.36,0.02,68.63,7.59,9.042160738,,,,,,,
SR64,6/12/2024,10:47,1,29.84,45370,29.24,29040,6.06,94,7.46,0.29,11.94,3.58,3.335195531,,,,,,,
SR64,6/12/2024,10:47,1,29.84,45370,29.24,29040,6.06,94,7.46,0.29,11.94,3.28,3.640243902,,,,,,,
SR64,6/12/2024,10:48,2,29.87,45440,29.28,29080,5.25,81.5,7.4,0.28,13.32,3.58,3.720670391,,,,,,,
SR64,6/12/2024,10:48,2,29.87,45440,29.28,29080,5.25,81.5,7.4,0.28,13.32,3.28,4.06097561,,,,,,,
SR64,6/12/2024,10:49,3,29.88,45490,29.32,29110,4.64,72.1,7.37,0.28,13.27,3.58,3.706703911,,,,,,,
SR64,6/12/2024,10:49,3,29.88,45490,29.32,29110,4.64,72.1,7.37,0.28,13.27,3.28,4.045731707,,,,,,,
SR64,6/12/2024,10:49,4,29.88,45520,29.34,29130,4.34,67.3,7.36,0.25,12.71,3.58,3.55027933,,,,,,,
SR64,6/12/2024,10:49,4,29.88,45520,29.34,29130,4.34,67.3,7.36,0.25,12.71,3.28,3.875,,,,,,,
FHR,6/12/2024,11:25,1,30.28,31570,19.54,20210,6.77,100.3,7.57,0.28,41.56,14.5,2.866206897,,,,,,,
FHR,6/12/2024,11:25,1,30.28,31570,19.54,20210,6.77,100.3,7.57,0.28,41.56,13.3,3.12481203,,,,,,,
FHR,6/12/2024,11:26,2,30.27,31390,19.41,20090,5.56,82.2,7.3,0.3,43.64,14.5,3.009655172,,,,,,,
FHR,6/12/2024,11:26,2,30.27,31390,19.41,20090,5.56,82.2,7.3,0.3,43.64,13.3,3.281203008,,,,,,,
FHR,6/12/2024,11:26,3,30.26,31460,19.46,20140,5.01,74.1,7.26,0.3,46.05,14.5,3.175862069,,,,,,,
FHR,6/12/2024,11:26,3,30.26,31460,19.46,20140,5.01,74.1,7.26,0.3,46.05,13.3,3.462406015,,,,,,,
FHR,6/12/2024,11:27,4,30.29,31430,19.44,20110,4.71,69.7,7.23,0.24,40.82,14.5,2.815172414,,,,,,,
FHR,6/12/2024,11:27,4,30.29,31430,19.44,20110,4.71,69.7,7.23,0.24,40.82,13.3,3.069172932,,,,,,,
RYE,6/12/2024,11:50,1,29.42,458.6,0.22,293.5,7.68,100.7,8.38,0.02,41.85,20.2,2.071782178,,,,,,,
RYE,6/12/2024,11:50,1,29.42,458.6,0.22,293.5,7.68,100.7,8.38,0.02,41.85,17.9,2.337988827,,,,,,,
RYE,6/12/2024,11:51,2,29.43,446.1,0.21,285.5,7.56,99.1,8.08,0.02,32.56,20.2,1.611881188,,,,,,,
RYE,6/12/2024,11:51,2,29.43,446.1,0.21,285.5,7.56,99.1,8.08,0.02,32.56,17.9,1.818994413,,,,,,,
RYE,6/12/2024,11:52,3,29.4,450.3,0.21,288.2,7.6,99.6,7.98,0.02,35.23,20.2,1.744059406,,,,,,,
RYE,6/12/2024,11:52,3,29.4,450.3,0.21,288.2,7.6,99.6,7.98,0.02,35.23,17.9,1.968156425,,,,,,,
RYE,6/12/2024,11:52,4,29.39,448.7,0.21,287.2,7.62,99.9,7.96,0.02,31.76,20.2,1.572277228,,,,,,,
RYE,6/12/2024,11:52,4,29.39,448.7,0.21,287.2,7.62,99.9,7.96,0.02,31.76,17.9,1.774301676,,,,,,,
EMP,6/13/2024,10:52,1,31.78,53890,35.4,34490,6.86,113.4,7.26,0.05,20.86,10.8,1.931481481,,,,,,,
EMP,6/13/2024,10:52,1,31.78,53890,35.4,34490,6.86,113.4,7.26,0.05,20.86,11,1.896363636,,,,,,,
EMP,6/13/2024,10:53,2,31.92,53940,35.43,34520,7.04,116.6,7.84,0.09,23.72,10.8,2.196296296,,,,,,,
