date,time ,replicate,Temp_deg_C,SpCond_uS/cm,Salinity_PSU,TDS_mg/l,HDO_mg/l,HDO_%Sat,pH_units,Depth_m,field_chl_a,lab_chl_a,DEPTH,,
7/9/2024,11:07,1,32.32,54570,35.88,34920,5.09,85,7.93,0.14,6.58,7.9456,1.5,Kfr 1.5 a,Kfr 1.5
7/9/2024,11:07,2,32.31,54670,35.95,34980,5,83.5,7.93,0.16,6.74,7.9456,1.5,Kfr 1.5 b,Kfr 1.5
7/9/2024,11:08,3,32.3,54690,35.97,35000,4.46,74.6,7.93,0.16,7.74,7.9456,0.15,Kfr .15 c,Kfr .15
7/9/2024,11:08,4,32.31,54830,36.08,35090,4.37,73.1,7.93,0.15,9.05,7.9456,0.15,Kfr .15 d,Kfr .15
7/9/2024,11:08,5,32.31,54580,35.89,34930,4.35,72.8,7.93,0.14,9.29,7.9456,0.15,Kfr .15 e,Kfr .15
7/9/2024,11:09,6,32.32,54710,35.99,35010,4.31,72.1,7.93,0.14,7.97,7.9456,0.15,Kfr .15 f,Kfr .15
7/9/2024,11:07,1,32.32,54570,35.88,34920,5.09,85,7.93,0.14,6.58,6.77632,1.5,Kfr 1.5 a,Kfr 1.5
7/9/2024,11:07,2,32.31,54670,35.95,34980,5,83.5,7.93,0.16,6.74,6.77632,1.5,Kfr 1.5 b,Kfr 1.5
7/9/2024,11:08,3,32.3,54690,35.97,35000,4.46,74.6,7.93,0.16,7.74,6.77632,0.15,Kfr .15 c,Kfr .15
7/9/2024,11:08,4,32.31,54830,36.08,35090,4.37,73.1,7.93,0.15,9.05,6.77632,0.15,Kfr .15 d,Kfr .15
7/9/2024,11:08,5,32.31,54580,35.89,34930,4.35,72.8,7.93,0.14,9.29,6.77632,0.15,Kfr .15 e,Kfr .15
7/9/2024,11:09,6,32.32,54710,35.99,35010,4.31,72.1,7.93,0.14,7.97,6.77632,0.15,Kfr .15 f,Kfr .15
7/9/2024,11:07,1,32.32,54570,35.88,34920,5.09,85,7.93,0.14,6.58,6.59968,1.5,Kfr 1.5 a,Kfr 1.5
7/9/2024,11:07,2,32.31,54670,35.95,34980,5,83.5,7.93,0.16,6.74,6.59968,1.5,Kfr 1.5 b,Kfr 1.5
