date,time ,replicate,Temp_deg_C,SpCond_uS/cm,Salinity_PSU,TDS_mg/l,HDO_mg/l,HDO_%Sat,pH_units,Depth_m,field_chl_a,lab_chl_a,DEPTH,,
7/9/2024,14:22,1,30.72,647.3,0.31,414.2,6.72,90.1,7.64,0.15,63.27,22.20992,0.15,mc .15 a,mc .15
7/9/2024,14:22,2,30.71,646.4,0.31,413.7,6.76,90.7,7.62,0.14,73.29,22.20992,0.15,mc .15 b,mc .15
7/9/2024,14:22,3,30.71,647.5,0.31,414.4,6.84,91.8,7.61,0.15,78.74,22.20992,0.15,mc .15 c,mc .15
7/9/2024,14:22,4,30.73,648.3,0.31,414.9,6.89,92.4,7.6,0.15,84.33,22.20992,0.15,mc .15 d,mc .15
7/9/2024,14:22,5,30.74,648.1,0.31,414.8,6.91,92.8,7.59,0.14,85.76,22.20992,0.15,mc .15 e,mc .15
7/9/2024,14:22,6,30.75,651.7,0.31,417.1,6.96,93.4,7.57,0.14,94.33,22.20992,0.15,mc .15 f,mc .15
7/9/2024,14:22,1,30.72,647.3,0.31,414.2,6.72,90.1,7.64,0.15,63.27,21.63392,0.15,mc .15 a,mc .15
7/9/2024,14:22,2,30.71,646.4,0.31,413.7,6.76,90.7,7.62,0.14,73.29,21.63392,0.15,mc .15 b,mc .15
7/9/2024,14:22,3,30.71,647.5,0.31,414.4,6.84,91.8,7.61,0.15,78.74,21.63392,0.15,mc .15 c,mc .15
7/9/2024,14:22,4,30.73,648.3,0.31,414.9,6.89,92.4,7.6,0.15,84.33,21.63392,0.15,mc .15 d,mc .15
7/9/2024,14:22,5,30.74,648.1,0.31,414.8,6.91,92.8,7.59,0.14,85.76,21.63392,0.15,mc .15 e,mc .15
7/9/2024,14:22,6,30.75,651.7,0.31,417.1,6.96,93.4,7.57,0.14,94.33,21.63392,0.15,mc .15 f,mc .15
7/9/2024,14:22,1,30.72,647.3,0.31,414.2,6.72,90.1,7.64,0.15,63.27,20.11584,0.15,mc .15 a,mc .15
7/9/2024,14:22,2,30.71,646.4,0.31,413.7,6.76,90.7,7.62,0.14,73.29,20.11584,0.15,mc .15 b,mc .15
7/9/2024,14:22,3,30.71,647.5,0.31,414.4,6.84,91.8,7.61,0.15,78.74,20.11584,0.15,mc .15 c,mc .15
7/9/2024,14:22,4,30.73,648.3,0.31,414.9,6.89,92.4,7.6,0.15,84.33,20.11584,0.15,mc .15 d,mc .15
7/9/2024,14:22,5,30.74,648.1,0.31,414.8,6.91,92.8,7.59,0.14,85.76,20.11584,0.15,mc .15 e,mc .15
7/9/2024,14:22,6,30.75,651.7,0.31,417.1,6.96,93.4,7.57,0.14,94.33,20.11584,0.15,mc .15 f,mc .15
7/9/2024,14:23,1,30.74,647.9,0.31,414.6,7,94,7.56,0.3,76.84,22.20992,0.3,mc .3a,mc .3a
7/9/2024,14:23,2,30.74,647.3,0.31,414.3,7.02,94.2,7.55,0.3,95.57,22.20992,0.3,mc .3b,mc .3b
7/9/2024,14:23,3,30.74,647.2,0.31,414.2,7.03,94.4,7.55,0.3,88.42,22.20992,0.3,mc .3c,mc .3c
7/9/2024,14:23,4,30.74,647.9,0.31,414.6,7.04,94.5,7.55,0.31,97.68,22.20992,0.3,mc .3d,mc .3d
7/9/2024,14:23,5,30.73,646.8,0.31,413.9,7.06,94.7,7.55,0.32,95.43,22.20992,0.3,mc .3e,mc .3e
7/9/2024,14:23,6,30.74,646.8,0.31,413.9,7.06,94.8,7.54,0.32,88.21,22.20992,0.3,mc .3f,mc .3f
7/9/2024,14:23,1,30.74,647.9,0.31,414.6,7,94,7.56,0.3,76.84,21.63392,0.3,mc .3a,mc .3a
7/9/2024,14:23,2,30.74,647.3,0.31,414.3,7.02,94.2,7.55,0.3,95.57,21.63392,0.3,mc .3b,mc .3b
7/9/2024,14:23,3,30.74,647.2,0.31,414.2,7.03,94.4,7.55,0.3,88.42,21.63392,0.3,mc .3c,mc .3c
7/9/2024,14:23,4,30.74,647.9,0.31,414.6,7.04,94.5,7.55,0.31,97.68,21.63392,0.3,mc .3d,mc .3d
7/9/2024,14:23,5,30.73,646.8,0.31,413.9,7.06,94.7,7.55,0.32,95.43,21.63392,0.3,mc .3e,mc .3e
7/9/2024,14:23,6,30.74,646.8,0.31,413.9,7.06,94.8,7.54,0.32,88.21,21.63392,0.3,mc .3f,mc .3f
7/9/2024,14:23,1,30.74,647.9,0.31,414.6,7,94,7.56,0.3,76.84,20.11584,0.3,mc .3a,mc .3a
7/9/2024,14:23,2,30.74,647.3,0.31,414.3,7.02,94.2,7.55,0.3,95.57,20.11584,0.3,mc .3b,mc .3b
7/9/2024,14:23,3,30.74,647.2,0.31,414.2,7.03,94.4,7.55,0.3,88.42,20.11584,0.3,mc .3c,mc .3c
7/9/2024,14:23,4,30.74,647.9,0.31,414.6,7.04,94.5,7.55,0.31,97.68,20.11584,0.3,mc .3d,mc .3d
7/9/2024,14:23,5,30.73,646.8,0.31,413.9,7.06,94.7,7.55,0.32,95.43,20.11584,0.3,mc .3e,mc .3e
7/9/2024,14:23,6,30.74,646.8,0.31,413.9,7.06,94.8,7.54,0.32,88.21,20.11584,0.3,mc .3f,mc .3f
7/9/2024,14:24,1,30.73,646.7,0.31,413.9,7.06,94.8,7.51,0.48,98.32,22.20992,0.45,mc .45a,mc .45
7/9/2024,14:24,2,30.73,647.9,0.31,414.6,7.06,94.8,7.51,0.47,87.34,22.20992,0.45,mc .45b,mc .45
7/9/2024,14:24,3,30.73,648.1,0.31,414.7,7.06,94.8,7.5,0.49,92.79,22.20992,0.45,mc .45c,mc .45
7/9/2024,14:24,4,30.71,647.3,0.31,414.2,7.07,94.9,7.5,0.49,94.3,22.20992,0.45,mc .45d,mc .45
7/9/2024,14:24,5,30.73,647.8,0.31,414.6,7.07,94.9,7.5,0.45,86.36,22.20992,0.45,mc .45e,mc .45
7/9/2024,14:24,6,30.73,646.9,0.31,414,7.07,94.8,7.5,0.46,89.98,22.20992,0.45,mc .45f,mc .45
7/9/2024,14:24,1,30.73,646.7,0.31,413.9,7.06,94.8,7.51,0.48,98.32,21.63392,0.45,mc .45a,mc .45
7/9/2024,14:24,2,30.73,647.9,0.31,414.6,7.06,94.8,7.51,0.47,87.34,21.63392,0.45,mc .45b,mc .45
7/9/2024,14:24,3,30.73,648.1,0.31,414.7,7.06,94.8,7.5,0.49,92.79,21.63392,0.45,mc .45c,mc .45
7/9/2024,14:24,4,30.71,647.3,0.31,414.2,7.07,94.9,7.5,0.49,94.3,21.63392,0.45,mc .45d,mc .45
7/9/2024,14:24,5,30.73,647.8,0.31,414.6,7.07,94.9,7.5,0.45,86.36,21.63392,0.45,mc .45e,mc .45
7/9/2024,14:24,6,30.73,646.9,0.31,414,7.07,94.8,7.5,0.46,89.98,21.63392,0.45,mc .45f,mc .45
7/9/2024,14:24,1,30.73,646.7,0.31,413.9,7.06,94.8,7.51,0.48,98.32,20.11584,0.45,mc .45a,mc .45
7/9/2024,14:24,2,30.73,647.9,0.31,414.6,7.06,94.8,7.51,0.47,87.34,20.11584,0.45,mc .45b,mc .45
7/9/2024,14:24,3,30.73,648.1,0.31,414.7,7.06,94.8,7.5,0.49,92.79,20.11584,0.45,mc .45c,mc .45
7/9/2024,14:24,4,30.71,647.3,0.31,414.2,7.07,94.9,7.5,0.49,94.3,20.11584,0.45,mc .45d,mc .45
7/9/2024,14:24,5,30.73,647.8,0.31,414.6,7.07,94.9,7.5,0.45,86.36,20.11584,0.45,mc .45e,mc .45
7/9/2024,14:24,6,30.73,646.9,0.31,414,7.07,94.8,7.5,0.46,89.98,20.11584,0.45,mc .45f,mc .45
7/9/2024,14:25,1,30.56,643.2,0.31,411.6,7.08,94.7,7.49,0.6,58.27,22.20992,0.6,mc .6a,mc .6a
7/9/2024,14:25,2,30.49,640.9,0.3,410.2,6.98,93.3,7.48,0.63,49.94,22.20992,0.6,mc .6b,mc .6b
7/9/2024,14:25,3,30.43,641.3,0.3,410.4,6.94,92.6,7.48,0.65,51.09,22.20992,0.6,mc .6c,mc .6c
7/9/2024,14:25,4,30.54,641.7,0.3,410.7,6.9,92.3,7.47,0.61,48.53,22.20992,0.6,mc .6d,mc .6d
7/9/2024,14:25,5,30.5,642.4,0.31,411.1,6.89,92.1,7.47,0.63,41.03,22.20992,0.6,mc .6e,mc .6e
7/9/2024,14:25,6,30.53,645.2,0.31,412.9,6.84,91.5,7.46,0.58,39.6,22.20992,0.6,mc .6f,mc .6f
