Station,Date,Time,Replicate,Temp(deg C),Conductivity_uS,Salinity_PSU,TDS(mg/L),HDO(mg/L),HDO %,pH,Depth,Field_Chl_a,Lab_Chl_a,correction
KFR,6/18/2024,10:15,1,28.71,52360,34.37,33510,6.96,108.9,7.15,0.28,12.8,11.7,1.094017094
KFR,6/18/2024,10:15,1,28.71,52360,34.37,33510,6.96,108.9,7.15,0.28,12.8,11.6,1.103448276
KFR,6/18/2024,10:15,2,28.74,52420,34.42,33550,6.35,99.6,8.09,0.39,11.88,11.7,1.015384615
KFR,6/18/2024,10:15,2,28.74,52420,34.42,33550,6.35,99.6,8.09,0.39,11.88,11.6,1.024137931
KFR,6/18/2024,10:16,3,28.74,52450,34.44,33570,5.94,93,8.14,0.32,12,11.7,1.025641026
KFR,6/18/2024,10:16,3,28.74,52450,34.44,33570,5.94,93,8.14,0.32,12,11.6,1.034482759
KFR,6/18/2024,10:17,4,28.72,52410,34.41,33540,5.99,93.7,8.14,0.32,12.31,11.7,1.052136752
KFR,6/18/2024,10:17,4,28.72,52410,34.41,33540,5.99,93.7,8.14,0.32,12.31,11.6,1.061206897
SR64,6/18/2024,11:26,1,29.74,39100,24.77,25030,6.85,103.4,7.46,0.27,5.87,6.52,0.900306748
SR64,6/18/2024,11:26,1,29.74,39100,24.77,25030,6.85,103.4,7.46,0.27,5.87,6.2,0.946774194
SR64,6/18/2024,11:26,2,29.75,39190,24.83,25080,6.4,96.7,7.66,0.27,6.27,6.52,0.961656442
SR64,6/18/2024,11:26,2,29.75,39190,24.83,25080,6.4,96.7,7.66,0.27,6.27,6.2,1.011290323
SR64,6/18/2024,11:27,3,29.72,39110,24.78,25030,6.15,92.9,7.68,0.34,5.44,6.52,0.834355828
SR64,6/18/2024,11:27,3,29.72,39110,24.78,25030,6.15,92.9,7.68,0.34,5.44,6.2,0.877419355
SR64,6/18/2024,11:27,4,29.72,39090,24.77,25020,6.1,92.1,7.68,0.28,6.86,6.52,1.052147239
SR64,6/18/2024,11:27,4,29.72,39090,24.77,25020,6.1,92.1,7.68,0.28,6.86,6.2,1.106451613
SR64,7/2/2024,9:52,1,31.24,37990,23.95,24310,4.46,68.7,7.45,0.46,9.36,8.94656,1.046212175
SR64,7/2/2024,9:52,2,31.28,37860,23.86,24230,4.4,67.8,7.45,0.43,8.02,8.94656,0.896433937
SR64,7/2/2024,9:52,3,31.29,37840,23.84,24220,4.34,66.9,7.45,0.45,8.93,8.94656,0.998149009
SR64,7/2/2024,9:53,4,31.29,37920,23.9,24270,4.35,67.1,7.46,0.46,9.28,8.94656,1.037270191
SR64,7/2/2024,9:53,5,31.33,37880,23.87,24240,4.36,67.3,7.46,0.44,9.48,8.94656,1.059625152
SR64,7/2/2024,9:53,6,31.33,37920,23.9,24260,4.37,67.4,7.47,0.43,9.66,8.94656,1.079744617
SR64,7/2/2024,9:52,1,31.24,37990,23.95,24310,4.46,68.7,7.45,0.46,9.36,8.3616,1.119402985
SR64,7/2/2024,9:52,2,31.28,37860,23.86,24230,4.4,67.8,7.45,0.43,8.02,8.3616,0.959146575
SR64,7/2/2024,9:52,3,31.29,37840,23.84,24220,4.34,66.9,7.45,0.45,8.93,8.3616,1.067977421
SR64,7/2/2024,9:53,4,31.29,37920,23.9,24270,4.35,67.1,7.46,0.46,9.28,8.3616,1.109835438
SR64,7/2/2024,9:53,5,31.33,37880,23.87,24240,4.36,67.3,7.46,0.44,9.48,8.3616,1.133754305
SR64,7/2/2024,9:53,6,31.33,37920,23.9,24260,4.37,67.4,7.47,0.43,9.66,8.3616,1.155281286
SR64,7/2/2024,9:52,1,31.24,37990,23.95,24310,4.46,68.7,7.45,0.46,9.36,9.17632,1.020016739
SR64,7/2/2024,9:52,2,31.28,37860,23.86,24230,4.4,67.8,7.45,0.43,8.02,9.17632,0.873988701
SR64,7/2/2024,9:52,3,31.29,37840,23.84,24220,4.34,66.9,7.45,0.45,8.93,9.17632,0.973156995
